Initial Stats:
Initial distribution of soil types: {'desert': 7001, 'steppe': 1199, 'field': 900, 'forest': 900}
Total initial grass: 100000
Tick, Total cows, Average Age, Total Grass
880, 8971, 32, 182419
881, 8949, 32, 182639
882, 8961, 32, 181871
883, 8930, 32, 182308
884, 8932, 32, 182059
885, 8918, 32, 183208
886, 8899, 32, 182360
887, 8898, 32, 182171
888, 8905, 32, 182811
889, 8867, 33, 182874
890, 8847, 33, 181907
891, 8838, 33, 182702
892, 8817, 33, 181874
893, 8786, 33, 183477
894, 8774, 33, 182883
895, 8770, 33, 183764
896, 8742, 33, 182170
897, 8757, 33, 183129
898, 8775, 33, 182920
899, 8774, 33, 184129
900, 8827, 33, 173942
901, 8865, 33, 175866
902, 8913, 33, 173720
903, 8974, 33, 171522
904, 9005, 33, 170760
905, 9011, 33, 171322
906, 9042, 33, 167841
907, 9087, 33, 169114
908, 9098, 33, 168608
909, 9113, 33, 167949
910, 9164, 33, 167742
911, 9202, 33, 167784
912, 9250, 33, 166985
913, 9274, 33, 167167
914, 9300, 33, 166351
915, 9305, 33, 167480
916, 9349, 33, 167644
917, 9398, 33, 167514
918, 9436, 32, 167465
919, 9513, 32, 167882
920, 9541, 32, 167714
921, 9587, 32, 167504
922, 9633, 32, 167403
923, 9700, 31, 167803
924, 9771, 31, 168446
925, 9731, 31, 179014
926, 9661, 31, 180334
927, 9634, 31, 186990
928, 9622, 31, 184007
929, 9619, 31, 187604
930, 9638, 31, 183020
931, 9631, 31, 184296
932, 9647, 30, 181639
933, 9652, 30, 185025
934, 9672, 30, 182034
935, 9682, 30, 184248
936, 9694, 30, 181118
937, 9743, 30, 182655
938, 9768, 30, 181186
939, 9795, 30, 182955
940, 9846, 30, 181086
941, 9894, 30, 182696
942, 9898, 30, 181124
943, 9919, 30, 183501
944, 9944, 30, 180608
945, 9930, 30, 182981
946, 9938, 30, 181014
947, 9949, 30, 182783
948, 9971, 30, 180469
949, 9969, 30, 181833
950, 9901, 30, 184871
951, 9868, 30, 182583
952, 9821, 30, 182535
953, 9737, 30, 182228
954, 9706, 30, 183339
955, 9631, 30, 182305
956, 9571, 30, 182046
957, 9525, 30, 182446
958, 9451, 30, 182218
959, 9399, 30, 182537
960, 9353, 30, 182111
961, 9300, 30, 183542
962, 9266, 30, 182853
963, 9195, 30, 182942
964, 9128, 30, 183080
965, 9076, 30, 182785
966, 9011, 30, 183262
967, 8940, 30, 183022
968, 8861, 30, 183486
969, 8804, 30, 183164
970, 8735, 31, 183548
971, 8659, 31, 183859
972, 8609, 31, 183219
973, 8560, 31, 183745
974, 8482, 31, 183640
975, 8496, 31, 180154
976, 8485, 31, 183471
977, 8486, 31, 183042
978, 8473, 31, 183083
979, 8485, 32, 183281
980, 8511, 32, 184397
981, 8494, 32, 183724
982, 8476, 32, 183710
983, 8462, 32, 183324
984, 8492, 32, 183017
985, 8504, 32, 184433
986, 8519, 32, 183451
987, 8544, 32, 183949
988, 8547, 32, 183003
989, 8546, 33, 184179
990, 8532, 33, 183388
991, 8522, 33, 183884
992, 8509, 33, 183855
993, 8506, 33, 184374
994, 8487, 33, 183267
995, 8452, 33, 183951
996, 8456, 33, 184216
997, 8447, 33, 184563
998, 8424, 33, 183998
999, 8433, 33, 184294
Time limit reached. Simulation stopped.
999, 8433, 33, 184294

Simulation completed in 4.71 seconds.
